Electron density <n>,                             0.7057888591                                      
d<n>,                                             -nan                                              
Double occupancy <n+ n->,                         0.09901856475                                     
d<n+ n->,                                         -nan                                              
ZZ AF Structure Factor,                           0.5077517296                                      
< m^2 >,                                          0.5077517296                                      
d< m^2 >,                                         -nan                                              
Hkin,                                             -35.46415841                                      
dHkin,                                            -nan                                              
Hint,                                             0.792148518                                       
E,                                                -31.84885446                                      
Average sign,                                     0.8125                                            
