Configuration weight     Weight sign              
0.0473362                1                        
0.0828387                1                        
2.55815                  1                        
0.321639                 1                        
1.12463                  1                        
1.53803                  1                        
4.96627                  1                        
5.19325                  1                        
8.02331                  1                        
11.0066                  1                        
10.8172                  1                        
7.28795                  1                        
10.0211                  1                        
10.2491                  1                        
13.1328                  1                        
10.548                   1                        
12.4647                  1                        
10.8061                  1                        
14.8114                  1                        
16.3768                  1                        
20.886                   1                        
22.8005                  1                        
19.7113                  1                        
20.8639                  1                        
22.8677                  1                        
25.8996                  1                        
27.3755                  1                        
26.3277                  1                        
27.6824                  1                        
27.5519                  1                        
29.0707                  1                        
31.6548                  1                        
34.1023                  1                        
32.6983                  1                        
35.382                   1                        
33.9387                  1                        
36.9329                  1                        
41.9205                  1                        
40.7196                  1                        
42.5868                  1                        
42.9052                  1                        
44.7233                  1                        
46.6313                  1                        
47.1203                  1                        
47.2989                  1                        
54.8354                  1                        
55.8143                  1                        
53.433                   1                        
53.3704                  1                        
54.6217                  1                        
53.6075                  1                        
57.1523                  1                        
57.07                    1                        
55.12                    1                        
59.3758                  1                        
58.1463                  1                        
59.0087                  1                        
58.3258                  1                        
58.8592                  1                        
58.7594                  1                        
57.336                   1                        
56.6422                  1                        
58.0421                  1                        
59.8913                  1                        
61.4781                  1                        
64.2842                  1                        
63.0152                  1                        
63.4941                  1                        
65.8085                  1                        
65.7333                  1                        
69.3601                  1                        
70.3082                  1                        
72.4616                  1                        
75.284                   1                        
76.8852                  1                        
77.2256                  1                        
77.3021                  1                        
79.3773                  1                        
77.861                   1                        
77.5436                  1                        
78.8468                  1                        
75.6856                  1                        
80.4919                  1                        
80.9285                  1                        
82.1295                  1                        
83.6355                  1                        
84.1238                  1                        
83.7606                  1                        
83.8599                  1                        
86.0163                  1                        
88.5666                  1                        
88.0443                  1                        
88.1705                  1                        
86.5112                  1                        
84.5788                  1                        
85.3247                  1                        
90.5336                  1                        
88.2478                  1                        
88.7797                  1                        
89.706                   1                        
88.9493                  1                        
90.7863                  1                        
91.3777                  1                        
92.4994                  1                        
97.3411                  1                        
99.9352                  1                        
102.13                   1                        
103.797                  1                        
104.559                  1                        
106.553                  1                        
105.997                  1                        
109.866                  1                        
113.264                  1                        
114.286                  1                        
114.569                  1                        
116.401                  1                        
117.105                  1                        
119.941                  1                        
124.316                  1                        
124.515                  1                        
125.29                   1                        
125.461                  1                        
122.804                  1                        
121.545                  1                        
121.634                  1                        
121.203                  1                        
125.857                  1                        
125.902                  1                        
127.193                  1                        
126.498                  1                        
124.96                   1                        
128.756                  1                        
128.46                   1                        
130.437                  1                        
134.016                  1                        
131.733                  1                        
131.308                  1                        
131.406                  1                        
130.056                  1                        
129.497                  1                        
132.248                  1                        
132.752                  1                        
135.569                  1                        
137.312                  1                        
138.831                  1                        
138.937                  1                        
138.987                  1                        
138.647                  1                        
142.98                   1                        
147.43                   1                        
147.746                  1                        
150.214                  1                        
150.197                  1                        
151.427                  1                        
153.542                  1                        
152.716                  1                        
155.182                  1                        
158.937                  1                        
161.95                   1                        
165.458                  1                        
170.015                  1                        
171.357                  1                        
171.944                  1                        
173.461                  1                        
174.531                  1                        
174.322                  1                        
173.068                  1                        
174.655                  1                        
177.904                  1                        
181.314                  1                        
183.922                  1                        
185.861                  1                        
187.774                  1                        
191.582                  1                        
193.027                  1                        
198.325                  1                        
196.952                  1                        
200.171                  1                        
200.648                  1                        
200.276                  1                        
200.158                  1                        
201.443                  1                        
202.635                  1                        
203.281                  1                        
202.976                  1                        
205.102                  1                        
208.473                  1                        
205.901                  1                        
207.689                  1                        
208.763                  1                        
214.898                  1                        
217.113                  1                        
217.816                  1                        
220.637                  1                        
222.868                  1                        
228.077                  1                        
226.697                  1                        
226.444                  1                        
230.71                   1                        
230.824                  1                        
234.283                  1                        
235.49                   1                        
235.395                  1                        
237.138                  1                        
236.312                  1                        
236.663                  1                        
237.455                  1                        
235.923                  1                        
239.973                  1                        
240.229                  1                        
240.374                  1                        
239.713                  1                        
241.855                  1                        
242.17                   1                        
245.311                  1                        
247.315                  1                        
249.486                  1                        
249.416                  1                        
251.035                  1                        
249.295                  1                        
250.76                   1                        
252.249                  1                        
258.323                  1                        
257.591                  1                        
258.086                  1                        
256.746                  1                        
259.09                   1                        
257.752                  1                        
260.269                  1                        
258.852                  1                        
260.197                  1                        
267.177                  1                        
269.693                  1                        
272.641                  1                        
270.4                    1                        
272.684                  1                        
276.801                  1                        
275.82                   1                        
272.294                  1                        
275.315                  1                        
274.4                    1                        
273.044                  1                        
278.324                  1                        
274.977                  1                        
273.275                  1                        
274.618                  1                        
273.106                  1                        
274.355                  1                        
273.955                  1                        
273.155                  1                        
277.297                  1                        
277.949                  1                        
283.827                  1                        
281.658                  1                        
280.042                  1                        
281.56                   1                        
282.126                  1                        
285.551                  1                        
285.745                  1                        
283.405                  1                        
281.167                  1                        
281.876                  1                        
282.541                  1                        
284.414                  1                        
284.296                  1                        
285.991                  1                        
287.033                  1                        
290.902                  1                        
292.172                  1                        
291.372                  1                        
290.325                  1                        
291.324                  1                        
291.214                  1                        
289.406                  1                        
290.302                  1                        
292.601                  1                        
294.428                  1                        
293.161                  1                        
291.828                  1                        
296.407                  1                        
296.523                  1                        
297.565                  1                        
301.536                  1                        
299.236                  1                        
297.776                  1                        
296.026                  1                        
297.778                  1                        
294.369                  1                        
296.412                  1                        
297.177                  1                        
296.475                  1                        
298.785                  1                        
301.405                  1                        
303.986                  1                        
301.399                  1                        
305.017                  1                        
301.504                  1                        
306.345                  1                        
304.806                  1                        
308.748                  1                        
306.676                  1                        
305.861                  1                        
305.529                  1                        
305.601                  1                        
306.648                  1                        
310.051                  1                        
312.233                  1                        
314.946                  1                        
317.025                  1                        
314.801                  1                        
313.232                  1                        
313.896                  1                        
313.934                  1                        
311.702                  1                        
308.555                  1                        
310.777                  1                        
314.857                  1                        
314.417                  1                        
313.476                  1                        
313.852                  1                        
316.672                  1                        
314.977                  1                        
313.417                  1                        
314.43                   1                        
314.102                  1                        
314.222                  1                        
318.854                  1                        
316.16                   1                        
319.387                  1                        
318.223                  1                        
317.306                  1                        
320.795                  1                        
322.538                  1                        
322.081                  1                        
322.586                  1                        
320.343                  1                        
317.967                  1                        
318.433                  1                        
317.145                  1                        
320.586                  1                        
316.896                  1                        
317.051                  1                        
315.698                  1                        
314.183                  1                        
308.993                  1                        
307.716                  1                        
303.237                  1                        
300.317                  1                        
300.626                  1                        
297.159                  1                        
294.014                  1                        
292.675                  1                        
291.442                  1                        
292.905                  1                        
291.506                  1                        
293.6                    1                        
293.764                  1                        
290.867                  1                        
291.332                  1                        
292.246                  1                        
294.582                  1                        
293.748                  1                        
