Configuration weight     Weight sign              Electron density <n>     Double occupancy <n+ n-> 
4503.52                  1                        1.486503054              0.5070001987             
106.2174901              1                        1.510824302              0.5280675942             
4100.628588              1                        1.485209384              0.5052187142             
580.6372413              1                        1.498238714              0.5124867013             
135.5187319              1                        1.492098056              0.5117942488             
26581.71698              1                        1.485382321              0.4997924017             
306.3132765              1                        1.480766531              0.5050552104             
76828.56242              1                        1.484781399              0.5005479458             
6649119695               1                        1.297335973              0.3177593213             
-12735256.91             -1                       1.251318766              0.281138355              
-631608.8117             -1                       1.244434504              0.2842519208             
-2941947744              -1                       1.246317423              0.2809152323             
-33584.16745             -1                       1.239170553              0.2782594092             
101560350.9              1                        1.253144368              0.2805794277             
241440.3072              1                        1.399908983              0.4304281851             
42316.23925              1                        1.487783325              0.5054793366             
88376.90541              1                        1.482171805              0.496753578              
265892.2586              1                        1.360646185              0.3855809303             
334.6487629              1                        1.431184751              0.4571708863             
957.0541527              1                        1.497452819              0.5183710514             
6197.904649              1                        1.498785521              0.5148642254             
91659.80223              1                        1.350598039              0.3799676347             
24728374.68              1                        1.252082485              0.2936007217             
2454.230005              1                        1.252576068              0.3030731084             
21889.26112              1                        1.40340975               0.42692142               
21234.44294              1                        1.499545867              0.5145891364             
64831.53992              1                        1.48709071               0.5107368755             
58674.72473              1                        1.495112366              0.5108620997             
3705538.897              1                        1.42954716               0.4516803642             
329539829.2              1                        1.249818551              0.2775977699             
381937663.6              1                        1.249374768              0.2770311132             
5984678.521              1                        1.254754587              0.2854032829             
2357612574               1                        1.24951686               0.2749987686             
24043437.08              1                        1.303620555              0.3288045342             
3638194.94               1                        1.280100198              0.3274788124             
52.09093721              1                        1.49197471               0.5154327283             
939.6881389              1                        1.480423751              0.5002627802             
2905.206245              1                        1.491885942              0.5095175095             
441.3656928              1                        1.486692011              0.508008878              
9655.992614              1                        1.461081473              0.4860764784             
12241.06491              1                        1.263991487              0.3009135002             
5008.704775              1                        1.28474411               0.3236122888             
136.0447643              1                        1.338882752              0.3762997208             
146.2630539              1                        1.496993593              0.513490798              
620.8856028              1                        1.49264878               0.5104017366             
84.77942599              1                        1.499164637              0.5187893164             
1190.869975              1                        1.496024999              0.5136797898             
268.9483879              1                        1.50633089               0.5223862395             
400.9401763              1                        1.491721113              0.5084115069             
4728.09364               1                        1.464436471              0.4931900081             
1394793506               1                        1.305214048              0.3335247189             
228614735                1                        1.251500298              0.2893847863             
415121760                1                        1.25015661               0.2823043859             
146295.1894              1                        1.252989794              0.3073027734             
148868.2895              1                        1.291233622              0.3234965493             
-2.904137005e+11         -1                       1.29776643               0.3171877708             
2234760.54               1                        1.254007346              0.282192317              
5708288.8                1                        1.349972239              0.3807141777             
9085.085301              1                        1.430234007              0.4603528857             
2881871282               1                        1.310091032              0.3367476336             
5453.854582              1                        1.263248521              0.3016692264             
38808.86337              1                        1.484436378              0.5009581863             
3057.173879              1                        1.498770364              0.5129452317             
519.1788918              1                        1.489907397              0.5114431319             
218200.2054              1                        1.468567014              0.4945451381             
658.8083789              1                        1.317599041              0.3527138347             
257415.0371              1                        1.344712143              0.3895846416             
30.31978072              1                        1.284854956              0.3286213034             
55456572.45              1                        1.348759385              0.384455622              
59792384.42              1                        1.25204047               0.2870411266             
76749.33775              1                        1.318021332              0.3532907481             
-37483448.89             -1                       1.269720096              0.3017770816             
-1376082642              -1                       1.255342689              0.2970873294             
6644208537               1                        1.225030729              0.2688590478             
143907348.4              1                        1.095061942              0.1742662611             
200216926.8              1                        1.250198406              0.2774483626             
1471604964               1                        1.304818465              0.3287274331             
533.3091556              1                        1.313682061              0.3515955557             
152532.3427              1                        1.455911828              0.476925238              
6.974457325e+10          1                        1.250929959              0.2741115218             
5288118.682              1                        1.22195663               0.2619795874             
8066532.352              1                        1.232822394              0.2698007448             
4085.446149              1                        1.255542976              0.2975962265             
1696460711               1                        1.263846937              0.2994592046             
6881746.621              1                        1.250390804              0.2802524962             
-4485205831              -1                       1.250135429              0.2875075998             
-4351644.287             -1                       1.239535472              0.2725318204             
-4168989.43              -1                       1.248855924              0.2765253982             
-24528512.97             -1                       1.242160778              0.2798074166             
-6069959.831             -1                       1.247385411              0.290462436              
9915.674051              1                        1.463548979              0.4907720512             
-754307.4347             -1                       1.249392789              0.2985783984             
418297952.8              1                        1.244600668              0.2724337489             
1.487504561e+10          1                        1.172144335              0.2124596636             
7.808254898e+12          1                        1.242170878              0.2687663299             
20576.4005               1                        1.291961514              0.3157448766             
22174.32455              1                        1.495965605              0.5136150092             
9786080.13               1                        1.423663485              0.4440976694             
256631992.9              1                        1.2504973                0.2933884011             
70725.55249              1                        1.230927175              0.2734135823             
