Configuration weight     Weight sign              
3.90787                  1                        
8.20467                  1                        
12.3367                  1                        
13.3879                  1                        
24.0147                  1                        
27.9395                  1                        
27.7176                  1                        
27.8693                  1                        
28.2398                  1                        
32.805                   1                        
37.69                    1                        
44.1472                  1                        
50.977                   1                        
56.856                   1                        
51.1038                  1                        
52.4357                  1                        
63.9035                  1                        
61.6709                  1                        
68.2238                  1                        
63.1759                  1                        
69.4677                  1                        
73.6157                  1                        
74.4535                  1                        
75.8851                  1                        
73.26                    1                        
71.431                   1                        
77.5139                  1                        
81.0146                  1                        
91.9987                  1                        
103.405                  1                        
101.668                  1                        
102.324                  1                        
104.214                  1                        
112.154                  1                        
120.155                  1                        
129.837                  1                        
133.82                   1                        
141.981                  1                        
148.847                  1                        
152.81                   1                        
159.358                  1                        
165.702                  1                        
177.861                  1                        
173.982                  1                        
173.676                  1                        
178.389                  1                        
182.208                  1                        
186.191                  1                        
190.076                  1                        
198.469                  1                        
202.027                  1                        
206.407                  1                        
217.902                  1                        
220.227                  1                        
218.625                  1                        
225.174                  1                        
226.936                  1                        
225.269                  1                        
228.498                  1                        
237.94                   1                        
239.95                   1                        
241.746                  1                        
246.188                  1                        
246.167                  1                        
248.422                  1                        
256.486                  1                        
262.515                  1                        
264.365                  1                        
271.227                  1                        
272.616                  1                        
282.634                  1                        
285.41                   1                        
291.176                  1                        
293.346                  1                        
296.97                   1                        
302.239                  1                        
314.742                  1                        
306.754                  1                        
314.195                  1                        
329.994                  1                        
332.131                  1                        
339.326                  1                        
343.608                  1                        
345.608                  1                        
347.083                  1                        
351.002                  1                        
358.239                  1                        
362.175                  1                        
370.325                  1                        
389.338                  1                        
387.462                  1                        
392.514                  1                        
394.777                  1                        
393.292                  1                        
390.964                  1                        
398.076                  1                        
399.785                  1                        
399.527                  1                        
403.396                  1                        
411.391                  1                        
416.372                  1                        
418.823                  1                        
427.844                  1                        
421.722                  1                        
430.525                  1                        
440.091                  1                        
441.312                  1                        
440.818                  1                        
451.258                  1                        
452.293                  1                        
461.541                  1                        
464.588                  1                        
473.388                  1                        
489.849                  1                        
490.955                  1                        
500.743                  1                        
504.204                  1                        
508.111                  1                        
510.098                  1                        
515.784                  1                        
514.405                  1                        
526.085                  1                        
523.273                  1                        
525.245                  1                        
532.092                  1                        
532.343                  1                        
544.021                  1                        
535.311                  1                        
542.168                  1                        
544.052                  1                        
548.233                  1                        
549.909                  1                        
553.631                  1                        
554.149                  1                        
551.427                  1                        
550.134                  1                        
552.077                  1                        
557.086                  1                        
560.353                  1                        
574.636                  1                        
571.232                  1                        
568.859                  1                        
569.776                  1                        
571.488                  1                        
577.74                   1                        
577.807                  1                        
581.039                  1                        
574.415                  1                        
572.316                  1                        
575.417                  1                        
567.72                   1                        
572.79                   1                        
572.67                   1                        
572.876                  1                        
572.394                  1                        
573.065                  1                        
568.277                  1                        
575.341                  1                        
563.548                  1                        
570.615                  1                        
572.089                  1                        
571.144                  1                        
571.257                  1                        
568.73                   1                        
570.231                  1                        
570.228                  1                        
576.692                  1                        
581.754                  1                        
577.558                  1                        
573.951                  1                        
576.209                  1                        
580.235                  1                        
585.623                  1                        
586.607                  1                        
596.608                  1                        
590.771                  1                        
590.922                  1                        
606.189                  1                        
602.602                  1                        
599.709                  1                        
605.47                   1                        
602.884                  1                        
604.722                  1                        
607.433                  1                        
614.293                  1                        
611.024                  1                        
611.216                  1                        
611.052                  1                        
607.166                  1                        
609.046                  1                        
599.233                  1                        
611.128                  1                        
605.154                  1                        
611.38                   1                        
614.4                    1                        
610.477                  1                        
615.049                  1                        
606.756                  1                        
601.822                  1                        
603.075                  1                        
602.005                  1                        
599.274                  1                        
599.957                  1                        
602.62                   1                        
605.217                  1                        
608.18                   1                        
598.886                  1                        
599.037                  1                        
599.017                  1                        
596.437                  1                        
597.483                  1                        
597.303                  1                        
604.55                   1                        
608.562                  1                        
609.657                  1                        
607.92                   1                        
606.746                  1                        
612.402                  1                        
611.982                  1                        
616.827                  1                        
613.97                   1                        
616.444                  1                        
618.697                  1                        
622.173                  1                        
623.028                  1                        
624.88                   1                        
625.172                  1                        
630.85                   1                        
629.483                  1                        
639.496                  1                        
639.673                  1                        
637.504                  1                        
633.291                  1                        
625.01                   1                        
623.829                  1                        
625.062                  1                        
627.888                  1                        
618.001                  1                        
615.468                  1                        
615.059                  1                        
615.949                  1                        
619.695                  1                        
610.547                  1                        
617.309                  1                        
620.549                  1                        
623.081                  1                        
632.739                  1                        
633.951                  1                        
632.431                  1                        
635.091                  1                        
636.257                  1                        
637.263                  1                        
638.536                  1                        
640.437                  1                        
641.185                  1                        
636.745                  1                        
640.343                  1                        
650.062                  1                        
640.358                  1                        
639.931                  1                        
643.714                  1                        
647.728                  1                        
648.425                  1                        
646.717                  1                        
644.151                  1                        
650.444                  1                        
653.484                  1                        
650.103                  1                        
656.668                  1                        
655.837                  1                        
659.339                  1                        
650.158                  1                        
653.062                  1                        
649.759                  1                        
650.92                   1                        
648.83                   1                        
647.703                  1                        
655.707                  1                        
657.571                  1                        
656.481                  1                        
651.634                  1                        
652.327                  1                        
649.061                  1                        
655.188                  1                        
654.613                  1                        
648.492                  1                        
638.388                  1                        
638.646                  1                        
644.089                  1                        
642.1                    1                        
642.045                  1                        
649.519                  1                        
642.777                  1                        
645.529                  1                        
650.534                  1                        
653.164                  1                        
651.321                  1                        
647.63                   1                        
656.634                  1                        
658.106                  1                        
655.313                  1                        
652.692                  1                        
651.11                   1                        
642.126                  1                        
641.965                  1                        
641.742                  1                        
648.511                  1                        
653.967                  1                        
653.689                  1                        
654.943                  1                        
661.289                  1                        
653.08                   1                        
651.452                  1                        
649.054                  1                        
648.046                  1                        
644.648                  1                        
647.183                  1                        
652.961                  1                        
657.341                  1                        
657.881                  1                        
660.667                  1                        
670.644                  1                        
671.103                  1                        
664.43                   1                        
661.148                  1                        
660.968                  1                        
663.673                  1                        
661.864                  1                        
662.803                  1                        
666.901                  1                        
667.365                  1                        
673.531                  1                        
661.529                  1                        
663.705                  1                        
668.304                  1                        
669.115                  1                        
665.786                  1                        
657.2                    1                        
659.585                  1                        
657.011                  1                        
654.682                  1                        
655.34                   1                        
650.208                  1                        
644.141                  1                        
648.629                  1                        
650.147                  1                        
656.818                  1                        
651.838                  1                        
645.963                  1                        
646.051                  1                        
644.001                  1                        
639.684                  1                        
641.587                  1                        
644.001                  1                        
644.268                  1                        
643.087                  1                        
643.935                  1                        
649.642                  1                        
655.255                  1                        
657.014                  1                        
656.791                  1                        
651.859                  1                        
656.276                  1                        
655.617                  1                        
648.123                  1                        
656.043                  1                        
650.996                  1                        
652.128                  1                        
654.57                   1                        
652.645                  1                        
653.603                  1                        
653.316                  1                        
650.957                  1                        
646.261                  1                        
648.411                  1                        
650.394                  1                        
651.915                  1                        
645.873                  1                        
657.447                  1                        
656.753                  1                        
663.606                  1                        
658.43                   1                        
656.749                  1                        
658.674                  1                        
653.469                  1                        
637.333                  1                        
639.692                  1                        
643.969                  1                        
641.898                  1                        
648.405                  1                        
647.896                  1                        
658.652                  1                        
653.629                  1                        
657.29                   1                        
654.297                  1                        
656.695                  1                        
659.598                  1                        
649.283                  1                        
645.274                  1                        
649.902                  1                        
643.585                  1                        
646.832                  1                        
645.825                  1                        
642.039                  1                        
640.699                  1                        
639.553                  1                        
653.654                  1                        
657.017                  1                        
654.755                  1                        
653.136                  1                        
649.154                  1                        
645.494                  1                        
647.718                  1                        
639.825                  1                        
635.415                  1                        
630.593                  1                        
633.266                  1                        
632.16                   1                        
630.905                  1                        
620.951                  1                        
616.214                  1                        
621.194                  1                        
621.381                  1                        
628.529                  1                        
624.653                  1                        
627.111                  1                        
628.279                  1                        
627.474                  1                        
628.912                  1                        
633.632                  1                        
634.26                   1                        
629.806                  1                        
629.054                  1                        
627.218                  1                        
634.983                  1                        
627.701                  1                        
625.748                  1                        
619.772                  1                        
617.025                  1                        
616.83                   1                        
619.932                  1                        
620.141                  1                        
616.247                  1                        
630.372                  1                        
635.164                  1                        
631.515                  1                        
639.107                  1                        
641.631                  1                        
645.222                  1                        
639.277                  1                        
639.065                  1                        
637.346                  1                        
640.163                  1                        
643.249                  1                        
651.62                   1                        
652.415                  1                        
658.687                  1                        
658.421                  1                        
661.249                  1                        
663.922                  1                        
664.594                  1                        
661.16                   1                        
663.862                  1                        
664.196                  1                        
660.509                  1                        
661.016                  1                        
660.144                  1                        
666.101                  1                        
671.525                  1                        
670.437                  1                        
670.074                  1                        
671.312                  1                        
669.69                   1                        
674.585                  1                        
674.625                  1                        
676.918                  1                        
675.464                  1                        
679.463                  1                        
678.123                  1                        
680.376                  1                        
683.958                  1                        
678.952                  1                        
683.28                   1                        
674.135                  1                        
672.249                  1                        
670.757                  1                        
669.12                   1                        
669.977                  1                        
665.801                  1                        
668.817                  1                        
667.004                  1                        
664.644                  1                        
669.327                  1                        
673.045                  1                        
672.254                  1                        
670.441                  1                        
671.396                  1                        
673.727                  1                        
669.37                   1                        
672.484                  1                        
673.34                   1                        
674.576                  1                        
678.452                  1                        
677.332                  1                        
682.968                  1                        
684.267                  1                        
681.804                  1                        
687.667                  1                        
684.756                  1                        
678.852                  1                        
679.395                  1                        
679.649                  1                        
680.327                  1                        
679.063                  1                        
675.472                  1                        
673.927                  1                        
666.331                  1                        
666.639                  1                        
664.675                  1                        
667.35                   1                        
667.066                  1                        
663.232                  1                        
653.982                  1                        
654                      1                        
657.672                  1                        
658.417                  1                        
652.226                  1                        
652.557                  1                        
659.633                  1                        
660.776                  1                        
658.83                   1                        
657.104                  1                        
657.525                  1                        
664.21                   1                        
660.17                   1                        
662.365                  1                        
660.482                  1                        
663.5                    1                        
670.198                  1                        
669.34                   1                        
671.291                  1                        
670.051                  1                        
676.706                  1                        
675.656                  1                        
678.85                   1                        
681.092                  1                        
677.168                  1                        
675.513                  1                        
682.029                  1                        
683.69                   1                        
681.827                  1                        
685.811                  1                        
684.886                  1                        
685.95                   1                        
687.353                  1                        
694.337                  1                        
699.07                   1                        
698.449                  1                        
699.803                  1                        
694.815                  1                        
696.41                   1                        
693.065                  1                        
694.851                  1                        
686                      1                        
685.039                  1                        
683.709                  1                        
679.467                  1                        
677.06                   1                        
672.437                  1                        
676.437                  1                        
683.723                  1                        
683.162                  1                        
685.257                  1                        
678.499                  1                        
672.411                  1                        
