Configuration weight     Weight sign              
7.25577                  1                        
4.9914                   1                        
16.0978                  1                        
16.3906                  1                        
27.8626                  1                        
34.8241                  1                        
42.2493                  1                        
50.9236                  1                        
57.1569                  1                        
62.1089                  1                        
69.5638                  1                        
78.2193                  1                        
80.8599                  1                        
92.354                   1                        
95.3744                  1                        
97.3036                  1                        
111.806                  1                        
117.233                  1                        
126.625                  1                        
127.598                  1                        
131.627                  1                        
137.862                  1                        
148.406                  1                        
143.926                  1                        
152.981                  1                        
162.162                  1                        
180.406                  1                        
184.413                  1                        
182.018                  1                        
191.573                  1                        
196.11                   1                        
198.532                  1                        
203.765                  1                        
208.763                  1                        
204.2                    1                        
207.323                  1                        
210.539                  1                        
220.179                  1                        
227.058                  1                        
232.41                   1                        
234.262                  1                        
241.712                  1                        
247.291                  1                        
253.927                  1                        
264.954                  1                        
262.225                  1                        
257.792                  1                        
266.381                  1                        
276.983                  1                        
289.093                  1                        
291.439                  1                        
296.271                  1                        
303.021                  1                        
315.274                  1                        
316.227                  1                        
325.512                  1                        
325.11                   1                        
329.965                  1                        
333.032                  1                        
334.056                  1                        
337.972                  1                        
346.387                  1                        
343.557                  1                        
347.973                  1                        
358.461                  1                        
367.779                  1                        
374.048                  1                        
382.746                  1                        
385.762                  1                        
398.988                  1                        
403.076                  1                        
406.435                  1                        
421.347                  1                        
421.164                  1                        
426.046                  1                        
428.608                  1                        
436.535                  1                        
444.585                  1                        
442.957                  1                        
448.782                  1                        
462.497                  1                        
464.858                  1                        
474.562                  1                        
478.277                  1                        
479.365                  1                        
480.54                   1                        
486.043                  1                        
493.196                  1                        
506.069                  1                        
517.748                  1                        
523.965                  1                        
524.799                  1                        
522.817                  1                        
520.178                  1                        
535.379                  1                        
540.56                   1                        
543.106                  1                        
546.944                  1                        
549.219                  1                        
559.006                  1                        
572.516                  1                        
579.935                  1                        
587.463                  1                        
592.831                  1                        
603.357                  1                        
601.302                  1                        
614.433                  1                        
623.808                  1                        
635.364                  1                        
644.185                  1                        
653.688                  1                        
659.025                  1                        
665.962                  1                        
667.534                  1                        
672.11                   1                        
682.958                  1                        
691.852                  1                        
693.121                  1                        
704.872                  1                        
706.352                  1                        
714.095                  1                        
719.621                  1                        
716.802                  1                        
714.943                  1                        
715.383                  1                        
706.574                  1                        
707.064                  1                        
704.343                  1                        
710.54                   1                        
716.666                  1                        
716.322                  1                        
715.664                  1                        
718.501                  1                        
718.325                  1                        
726.203                  1                        
723.342                  1                        
717.956                  1                        
717.134                  1                        
718.729                  1                        
728.477                  1                        
726.812                  1                        
730.39                   1                        
729.274                  1                        
729.733                  1                        
734.596                  1                        
731.039                  1                        
735.501                  1                        
741.462                  1                        
730.352                  1                        
728.217                  1                        
730.443                  1                        
725.875                  1                        
733.148                  1                        
735.647                  1                        
737.317                  1                        
754.56                   1                        
749.857                  1                        
764.059                  1                        
752.583                  1                        
745.717                  1                        
750.092                  1                        
748.136                  1                        
756.071                  1                        
750.397                  1                        
753.47                   1                        
760.261                  1                        
759.854                  1                        
757.525                  1                        
754.377                  1                        
750.732                  1                        
754.419                  1                        
754.156                  1                        
753.047                  1                        
748.308                  1                        
747.451                  1                        
752.392                  1                        
757.207                  1                        
754.257                  1                        
765.828                  1                        
773.132                  1                        
773.063                  1                        
778.031                  1                        
783.559                  1                        
784.185                  1                        
776.832                  1                        
776.49                   1                        
774.201                  1                        
773.304                  1                        
771.875                  1                        
776.239                  1                        
783.725                  1                        
784.415                  1                        
781.594                  1                        
784.23                   1                        
783.343                  1                        
782.362                  1                        
782.851                  1                        
778.487                  1                        
779.699                  1                        
783.486                  1                        
784.071                  1                        
788.251                  1                        
780.263                  1                        
776.597                  1                        
797.205                  1                        
795.118                  1                        
793.001                  1                        
783.047                  1                        
780.863                  1                        
796.792                  1                        
793.525                  1                        
788.629                  1                        
792.475                  1                        
799.116                  1                        
793.788                  1                        
795.376                  1                        
794.74                   1                        
783.616                  1                        
788.894                  1                        
785.071                  1                        
784.109                  1                        
778.672                  1                        
776.411                  1                        
769.784                  1                        
764.053                  1                        
772.257                  1                        
