weights			sign			<n>			<n+ n->
37558.1			1			1.49834			0
68.6406			1			1.25201			0.326446
0.840061			1			1.03352			0.181403
47793.2			1			1.40991			0.44419
36830.8			1			1.49997			0.499975
5567.51			1			1.41094			0.432534
24886.7			1			1.03503			0.146979
1283.88			1			1.07773			0.214243
3050.06			1			1.4333			0.453495
1364.38			1			1.4995			0.49964
2448.18			1			1.49886			0.499207
2549.45			1			1.49932			0.49946
41763.6			1			1.49781			0.498391
92.8196			1			1.48467			0.489251
8668.76			1			1.49985			0.499903
278.929			1			1.49174			0.494077
399098			1			1.49996			0.499977
4340.39			1			1.48966			0.492087
8942.66			1			1.49566			0.496886
13631.3			1			1.49579			0.496966
16258.2			1			1.4999			0.499938
1029.53			1			1.49978			0.499848
2078.07			1			1.49978			0.499848
21862.2			1			1.49973			0.499809
11118.6			1			1.49979			0.499852
13503.4			1			1.4894			0.49258
134653			1			1.49687			0.497425
3187.6			1			1.49917			0.499368
18.0035			1			1.43373			0.45582
21010.5			1			1.4918			0.49452
19.3216			1			1.49464			0.49616
288871			1			1.48935			0.491511
328.815			1			1.49803			0.498509
17530.8			1			1.49729			0.49811
751.182			1			1.49934			0.499528
16556.8			1			1.37747			0.408419
1197.4			1			1.15832			0.257433
82307.9			1			1.0007			0.119912
196105			1			1.00069			0.125593
2987.63			1			1.00254			0.129105
113946			1			1.01399			0.138441
119022			1			1.00801			0.121918
129.344			1			1.00189			0.158718
58304			1			1.00572			0.141217
94545			1			1.33783			0.385017
7130.34			1			1.49692			0.497838
904104			1			1.49955			0.499693
2457.55			1			1.49689			0.497612
56870			1			1.06017			0.155621
90.1627			1			1.02034			0.159131
398515			1			1.48835			0.491958
2.70396			1			1.43006			0.452851
545287			1			1.33852			0.386447
1561.99			1			1.49935			0.49959
2.93836e+06			1			1.06878			0.178795
8738.99			1			1.00319			0.112515
156538			1			1.01424			0.135618
1426.02			1			1.01541			0.14351
4394.9			1			1.4482			0.462018
19.1885			1			1.31924			0.368756
18828.8			1			1.00423			0.124298
1298.92			1			1.01449			0.147344
346672			1			1.46665			0.478446
51.8136			1			1.4949			0.496043
13143.5			1			1.49903			0.499312
962.305			1			1.49393			0.495477
144.005			1			1.48987			0.49232
486417			1			1.49924			0.49946
127568			1			1.41902			0.436848
185326			1			1.01604			0.162637
109800			1			1.45871			0.472633
857688			1			1.49999			0.499994
0.185291			1			1.42233			0.44399
1308.44			1			1.06544			0.195352
8105.65			1			1.0259			0.163597
245122			1			1.4819			0.487264
8319.52			1			1.46129			0.469937
1.05056e+07			1			1.49785			0.49858
52.8974			1			1.49075			0.492096
427045			1			1.48112			0.484134
3250.74			1			1.45555			0.470496
12.3468			1			1.04915			0.17401
671.03			1			1.0497			0.166402
78821.2			1			1.0013			0.121167
8047.31			1			1.01668			0.145823
16.147			1			1.01833			0.14096
563.046			1			1.14679			0.250203
216505			1			1.00218			0.115312
844.276			1			1.01043			0.143541
131794			1			1.48713			0.49173
1678.35			1			1.49066			0.492849
2157.63			1			1.48613			0.48909
427.538			1			1.49976			0.499842
44824.3			1			1.49934			0.499538
128.055			1			1.25993			0.337815
46360.6			1			1.02631			0.135122
465.745			1			1.06163			0.184139
25849.2			1			1.25665			0.347417
58654.3			1			1.49641			0.49695
1276.46			1			1.17245			0.244688
453.525			1			1.21335			0.295751
632838			1			1.49971			0.499797
185.637			1			1.49895			0.499292
1.83999e+06			1			1.49468			0.495772
203.294			1			1.48698			0.490161
331.938			1			1.13017			0.228203
247.079			1			1.3317			0.379369
4405.57			1			1.49717			0.498168
377.124			1			1.49946			0.499654
201570			1			1.4999			0.499931
307.415			1			1.49714			0.498064
709.713			1			1.49857			0.498919
3570.11			1			1.49981			0.499868
2066.33			1			1.14814			0.22678
62.7464			1			1.00232			0.146305
7393.05			1			1.02172			0.156618
34717.6			1			1.01059			0.134877
1.86151e+06			1			1.00076			0.108898
25672			1			1.00024			0.119401
104.015			1			1.04077			0.178062
259831			1			1.49528			0.496009
198586			1			1.49915			0.499346
1061.19			1			1.49794			0.498534
1784.5			1			1.49945			0.499662
600.345			1			1.49961			0.499692
144556			1			1.49776			0.498435
980.888			1			1.49829			0.498752
12475			1			1.47002			0.477626
242.228			1			1.49702			0.49834
336.18			1			1.46122			0.471628
116.843			1			1.34083			0.390255
3883.64			1			1.49993			0.499953
8056.72			1			1.37363			0.405935
53333.7			1			1.00658			0.139249
1.06742e+06			1			1.00017			0.124811
2266.19			1			1.02333			0.163141
314129			1			1.04445			0.148315
4.0645e+06			1			1.0003			0.10282
20319			1			1.00592			0.14358
327632			1			1.00737			0.140012
1983.14			1			1.04288			0.1867
12576.9			1			1.477			0.484932
15814.7			1			1.49039			0.492957
56.7545			1			1.48731			0.490795
30087.8			1			1.49276			0.495415
6352.45			1			1.49659			0.497663
55772.8			1			1.49938			0.499583
5.44694			1			1.48633			0.490869
19220.4			1			1.16703			0.248263
402.379			1			1.05404			0.166417
5.00152e+07			1			1.00394			0.113554
1.18854e+08			1			1.00027			0.130232
1225.27			1			1.02998			0.140488
15181.8			1			1.49859			0.499235
69179.7			1			1.11422			0.211436
12762.1			1			1.0162			0.14016
196200			1			1.00536			0.116259
17488.5			1			1.00319			0.118335
1654.99			1			1.00185			0.119805
14176			1			1.00334			0.121258
466.983			1			1.00296			0.135954
435.168			1			1.03963			0.176857
1.91951e+06			1			1.00192			0.111369
344947			1			1.00075			0.10966
1495.96			1			1.00441			0.121138
16394.7			1			1.09994			0.198507
403.009			1			1.01041			0.133723
8187.3			1			1.0009			0.125737
31165.4			1			1.00396			0.139649
36792.9			1			1.01374			0.114416
500.642			1			1.03892			0.175038
874.409			1			1.15712			0.253468
1115.36			1			1.01741			0.164099
21833.6			1			1.01987			0.160737
33.1519			1			1.04579			0.176562
47215.5			1			1.08921			0.189252
2.92669e+06			1			1.00028			0.123207
8126.83			1			1.00161			0.129341
13133.2			1			1.00287			0.130189
12966			1			1.00165			0.160452
1819.08			1			1.17163			0.26605
18.3432			1			1.4997			0.499772
34757			1			1.49789			0.498626
229.506			1			1.49959			0.499724
306.583			1			1.49688			0.497791
1243.68			1			1.49175			0.494087
173349			1			1.49837			0.498815
60.9149			1			1.49869			0.499008
148256			1			1.4977			0.498473
3241.59			1			1.4939			0.496234
5688.88			1			1.35414			0.389056
5933.36			1			1.49996			0.499972
253.871			1			1.38755			0.412611
95784.9			1			1.00227			0.142062
1130.74			1			1.27024			0.318704
16386.6			1			1.49988			0.499909
288.195			1			1.49316			0.495213
816.542			1			1.46059			0.472163
79512.8			1			1.49995			0.499964
515.309			1			1.32698			0.371191
1087.34			1			1.16973			0.26405
408034			1			1.48666			0.489165
24.9032			1			1.42189			0.445677
856473			1			1.02692			0.13792
22800.8			1			1.03371			0.146802
1.41839e+06			1			1.01461			0.131434
19635.8			1			1.00053			0.111546
914593			1			1.00099			0.12018
111838			1			1.00248			0.114197
1.56295e+06			1			1.35373			0.399592
931.865			1			1.49052			0.493271
178478			1			1.04661			0.151806
346731			1			1.48284			0.487609
613.344			1			1.4932			0.495413
38424.7			1			1.49639			0.497245
1.02818e+06			1			1.18313			0.265328
30.8506			1			1.01192			0.154869
2357.15			1			1.02594			0.157135
2912.47			1			1.02532			0.15327
10002			1			1.00157			0.135074
2427.68			1			1.00377			0.128799
961.076			1			1.00415			0.145501
40481.5			1			1.00122			0.135417
28889.6			1			1.00172			0.123196
9979.79			1			1.00238			0.132522
2939.42			1			1.00593			0.121007
7.86158			1			1.03443			0.164779
7706.36			1			1.42901			0.453058
497.134			1			1.34134			0.3807
3098.48			1			1.02357			0.149075
98.977			1			1.08787			0.199336
68330.4			1			1.06362			0.184075
1.19468e+06			1			1.00181			0.107263
419531			1			1.30076			0.365038
166.056			1			1.2933			0.352032
979937			1			1.46726			0.475212
0.992289			1			1.40994			0.438665
30700.7			1			1.19799			0.277407
511525			1			1.42421			0.454511
35.1462			1			1.44559			0.463742
16904.3			1			1.01738			0.14154
258774			1			1.00121			0.114755
25456.8			1			1.00211			0.131897
173.038			1			1.0105			0.157215
14363.2			1			1.00584			0.134338
22340.3			1			1.00077			0.122724
30337.9			1			1.00461			0.132398
3775.54			1			1.0017			0.145625
1035.45			1			1.26134			0.332007
47.2909			1			1.48596			0.488908
133.641			1			1.10354			0.215991
149031			1			1.49857			0.498965
171.712			1			1.4891			0.491303
127021			1			1.49858			0.499052
290.351			1			1.4908			0.494025
2.18732e+06			1			1.49955			0.499703
861.55			1			1.29841			0.352163
21564.5			1			1.38042			0.41035
930.038			1			1.4995			0.499633
225930			1			1.45566			0.463881
2446.99			1			1.41978			0.443182
673.461			1			1.01271			0.123421
13350.5			1			1.30336			0.360885
38877.8			1			1.49879			0.499009
203.115			1			1.47984			0.485148
215769			1			1.49158			0.494447
137328			1			1.49996			0.499971
32131.4			1			1.49899			0.499264
2788.51			1			1.38636			0.420978
2069.25			1			1.21673			0.289879
5020.53			1			1.49999			0.499992
37.6754			1			1.26625			0.342828
26623.1			1			1.17776			0.261277
2693.83			1			1.07605			0.208296
198655			1			1.46709			0.479197
3868.11			1			1.47959			0.483759
179133			1			1.49968			0.499752
178.779			1			1.48713			0.48944
1.4621e+07			1			1.49731			0.4983
66.2005			1			1.49789			0.498341
99585.1			1			1.47269			0.479239
2476.67			1			1.49601			0.49688
4.89994e+06			1			1.17365			0.265168
1.59097e+07			1			1.00004			0.097325
22415.1			1			1.00468			0.134339
270.459			1			1.00331			0.130403
30611			1			1.02071			0.161167
128.989			1			1.00469			0.156512
185.688			1			1.2677			0.327362
349424			1			1.49936			0.499453
69044.5			1			1.2961			0.353722
397.078			1			1.03668			0.161959
4035.35			1			1.35632			0.397153
29026			1			1.49953			0.49972
571.945			1			1.49949			0.499621
173470			1			1.41301			0.430394
301.093			1			1.49037			0.494384
2686.47			1			1.05747			0.185579
169050			1			1.00278			0.115147
2675.66			1			1.00082			0.119168
1915.33			1			1.06904			0.179992
270.939			1			1.00484			0.130343
494.085			1			1.00363			0.15174
1902.05			1			1.00442			0.154153
7.2161e+06			1			1.00105			0.115875
474.084			1			1.00134			0.124543
10845.6			1			1.19537			0.277777
8.70903			1			1.49257			0.495256
5460.84			1			1.03191			0.157993
72249.8			1			1.01242			0.138161
80429.9			1			1.2613			0.357786
2.96467			1			1.48135			0.488308
15004.1			1			1.30948			0.365969
68602.4			1			1.49481			0.496182
514.155			1			1.4893			0.491546
9894.42			1			1.49487			0.496418
570.036			1			1.3478			0.393831
64662.7			1			1.39825			0.425213
2804.46			1			1.49607			0.497213
195.92			1			1.48503			0.48956
3489.12			1			1.47112			0.482828
15966.3			1			1.49868			0.499083
1219.57			1			1.49973			0.499822
919.09			1			1.48048			0.486987
12290.3			1			1.48869			0.491834
94491.8			1			1.49989			0.499915
246.537			1			1.48209			0.48744
2323.4			1			1.48082			0.48589
929.485			1			1.49548			0.49698
7275.07			1			1.49965			0.499728
28499			1			1.26796			0.323714
85107.3			1			1.31183			0.359192
8101.16			1			1.49997			0.499974
1604.2			1			1.43533			0.442549
37032.7			1			1.01377			0.146772
992.273			1			1.12823			0.217508
36055.9			1			1.4982			0.498822
11.0394			1			1.46822			0.477516
1.34825e+06			1			1.0811			0.173651
13844.2			1			1.00105			0.113294
50206.2			1			1.0008			0.123478
7322.79			1			1.01415			0.142755
749.969			1			1.00121			0.13593
274.354			1			1.05625			0.173499
242350			1			1.01662			0.125072
10983.4			1			1.34164			0.405201
46132.8			1			1.5			0.499997
2644.75			1			1.49713			0.49811
163.398			1			1.30133			0.362269
121205			1			1.48076			0.485354
1.06227e+06			1			1.20441			0.265364
183.481			1			1.03956			0.165697
72870.7			1			1.49788			0.498469
24003			1			1.45928			0.466831
1.60155e+06			1			1.49829			0.499061
412.459			1			1.29978			0.355387
2.60247e+07			1			1.44933			0.464391
1418.54			1			1.47906			0.483864
145418			1			1.24588			0.314844
13315.2			1			1.49999			0.499986
14751.5			1			1.13821			0.241557
11353.4			1			1.00772			0.149014
822514			1			1.00461			0.124538
4992.27			1			1.00117			0.131209
120.629			1			1.00508			0.135347
227524			1			1.0096			0.139524
108.882			1			1.06323			0.187882
2.53728e+06			1			1.49585			0.496795
7050.83			1			1.49858			0.498995
114.375			1			1.4971			0.498062
2811.15			1			1.49786			0.498442
266.061			1			1.45703			0.466088
414523			1			1.48792			0.491553
6215.35			1			1.49966			0.499735
2.67784e+06			1			1.29654			0.346045
2.43576e+06			1			1.00004			0.0986621
391407			1			1.00026			0.108763
2045.84			1			1.0471			0.163676
23310.8			1			1.42642			0.443139
11046.4			1			1.49987			0.499908
32752			1			1.49999			0.499995
802.641			1			1.49937			0.499532
494.345			1			1.45555			0.468858
445966			1			1.49847			0.498974
973.46			1			1.42623			0.449612
26541.1			1			1.02453			0.14722
49515.6			1			1.00137			0.131551
1.61665e+06			1			1.00029			0.10279
13284.1			1			1.00116			0.140617
26150.9			1			1.00099			0.133619
13142.1			1			1.00611			0.124884
102593			1			1.38847			0.418055
118.2			1			1.44213			0.457872
12054.4			1			1.01437			0.143201
82713.2			1			1.00045			0.142096
5172.02			1			1.2486			0.334195
52836.1			1			1.49994			0.499956
403.855			1			1.18886			0.280463
33181.7			1			1.00508			0.149163
1.71133e+08			1			1.00336			0.115898
1.96971e+06			1			1.00025			0.0980425
39319.2			1			1.00131			0.134443
3818.72			1			1.00233			0.117218
47.7375			1			1.00475			0.149673
5.0893e+07			1			1.00407			0.105311
1.50681e+06			1			1.00082			0.122965
1.6185e+07			1			1.00008			0.113027
1421.17			1			1.00301			0.123436
68.0658			1			1.05695			0.178318
2.3016e+06			1			1.00297			0.128893
3.80871e+06			1			1.00048			0.0935086
1241.93			1			1.00306			0.135952
111170			1			1.00372			0.123832
413.202			1			1.00521			0.130378
615.746			1			1.02019			0.157096
35.9798			1			1.02179			0.168752
1.82037e+07			1			1.01082			0.121836
285.794			1			1.00191			0.152376
1.02383e+06			1			1.00232			0.12527
118.916			1			1.00702			0.141643
93.9459			1			1.04962			0.170754
14016.5			1			1.0135			0.136145
783.543			1			1.00488			0.157469
1618.64			1			1.04112			0.152987
236.292			1			1.0028			0.141352
24355.8			1			1.41179			0.433737
33.8471			1			1.49874			0.499146
