Configuration weight     Weight sign              Electron density <n>     Double occupancy <n+ n-> 
852.164                  1                        1.500332933              0                        
70.90318063              1                        1.501046601              0.5193501495             
636.4177101              1                        1.500250215              0.5166671002             
58696.72351              1                        1.499941843              0.5172794378             
623.6812903              1                        1.500241302              0.5185641976             
16265.50943              1                        1.499862708              0.5212945405             
2093.019018              1                        1.499773403              0.5207034318             
51725.45278              1                        1.499874148              0.5174982185             
19366.93117              1                        1.500538096              0.5119913205             
126647.0364              1                        1.502573136              0.5246941461             
199104.425               1                        1.496789999              0.5085031514             
369.6612427              1                        1.500168418              0.5234392151             
1587.975734              1                        1.500451114              0.5164294302             
17.06513091              1                        1.500346272              0.5176747389             
119.3571405              1                        1.501836684              0.5172941154             
110.1349729              1                        1.502383516              0.5222252419             
324.6096111              1                        1.501761593              0.523863343              
72796.66983              1                        1.500086386              0.5226181875             
160.9888283              1                        1.500034621              0.5241929255             
283.5254186              1                        1.498072639              0.5219987303             
919.1442277              1                        1.500304014              0.5252178773             
136.1324109              1                        1.497574271              0.5146094364             
3.747759635              1                        1.516631009              0.5400524949             
1005.161283              1                        1.499957591              0.5171279046             
65.61597633              1                        1.499682717              0.521883045              
40040.66481              1                        1.500093575              0.5152652209             
1862.859167              1                        1.462570085              0.483033701              
364.964814               1                        1.501725731              0.5234382575             
4802.39867               1                        1.500414321              0.517748469              
438.5973083              1                        1.499834053              0.5204098572             
240376.8133              1                        1.499802999              0.5121139969             
498.9145854              1                        1.500274133              0.5196843933             
2724.478195              1                        1.500697242              0.5190817276             
12307938.15              1                        1.500370175              0.5134548292             
32977.8381               1                        1.499079491              0.5222540128             
16804.37539              1                        1.49990071               0.5146760564             
223.1277463              1                        1.500224828              0.5165355566             
2500.476324              1                        1.499961808              0.5259375263             
8485.438016              1                        1.500389137              0.5201635313             
800640.5202              1                        1.49940597               0.5187446341             
4445.173428              1                        1.500061698              0.5155257322             
371.9155116              1                        1.499991747              0.5203274742             
131.1729089              1                        1.500191406              0.5161147704             
107.9524463              1                        1.500216987              0.5200503196             
226.3777678              1                        1.500107165              0.5193897516             
247.2930898              1                        1.499316615              0.5210468559             
34.65698602              1                        1.499999169              0.5179321868             
76441.62285              1                        1.500009133              0.5177830152             
31254.02306              1                        1.499956765              0.5123055218             
1857.800499              1                        1.500809295              0.5208199886             
213220.974               1                        1.481456884              0.4972360673             
5038.351809              1                        1.48998906               0.5136024005             
6175.825171              1                        1.499961647              0.5147638302             
2515.573325              1                        1.500030648              0.5219939964             
149.3288186              1                        1.500879924              0.5196246184             
16912.37368              1                        1.500316511              0.5215633169             
1362.240263              1                        1.500102753              0.5179526582             
319058.6917              1                        1.499965756              0.5150126184             
526.9139057              1                        1.500062072              0.5162732364             
3624.19202               1                        1.499878367              0.5173940462             
933.3269892              1                        1.499637677              0.519331706              
36.74894654              1                        1.500157412              0.5143783418             
45611.59233              1                        1.499602691              0.5171958043             
3588.44523               1                        1.492984146              0.5113099164             
484.4469927              1                        1.501005117              0.5241130342             
13.21296684              1                        1.506192547              0.5280167812             
2838.836424              1                        1.49880986               0.5168764881             
12.5188604               1                        1.500155384              0.5201489447             
1139.914662              1                        1.500437845              0.5174203328             
47.0722713               1                        1.500254027              0.5178283861             
59.12042962              1                        1.501241218              0.5196055739             
915.9459051              1                        1.49906183               0.5182728986             
56.11254604              1                        1.500305314              0.5202972537             
914.4884507              1                        1.498825763              0.516532888              
0.8481331453             1                        1.504842995              0.5272137105             
12.37544111              1                        1.555729073              0.5724432181             
3313.70459               1                        1.502404743              0.5191583489             
710.6399136              1                        1.500695207              0.5234940228             
1958.042695              1                        1.498094299              0.5146513002             
195.1902259              1                        1.500195663              0.5145964534             
5611.015465              1                        1.500775283              0.5252268275             
18.92689818              1                        1.497040837              0.5175089754             
0.4093023145             1                        1.510709366              0.5337375469             
295.5640599              1                        1.507888356              0.5281540351             
439528.7482              1                        1.498924279              0.5125433154             
0.3679926539             1                        1.500172214              0.5219565283             
568.6561445              1                        1.505055758              0.5299155349             
2466.012645              1                        1.500121947              0.5182893439             
158497.2723              1                        1.500511158              0.5159219498             
987.8414871              1                        1.499531086              0.5110098714             
4.77515391               1                        1.499744808              0.5166554523             
42129.49621              1                        1.501418321              0.5184793195             
6279411.85               1                        1.499687851              0.515552256              
55669.11852              1                        1.499752483              0.5146560602             
18029.47772              1                        1.499958909              0.5144958156             
1.128059446              1                        1.500452563              0.5219200605             
9463.453394              1                        1.500201443              0.5192755255             
2180.684295              1                        1.499616845              0.517814391              
682.1256784              1                        1.500021562              0.5183954597             
6.066759088              1                        1.500257472              0.5187709584             
